"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Automation Practice Form","Form Input and Validation","Date of Birth Selection","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Current Address Input","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Gender Selection","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Picture Upload","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Email Input","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Subjects Addition","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","First and Last Name Input","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Hobbies Selection","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Full Form Submission","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","Mobile Input","0","0","1","0","0"
"Automation Practice Form","Form Input and Validation","State and City Selection","0","0","1","0","0"
